"","congress","state_abbrev","district_code","district_id","party_code","icpsr","bioname","nominate_dim1","nominate_dim2","nokken_poole_dim1","nokken_poole_dim2","lcv_pooled_score","est_jobs"
"18",101,"CA",36,"CA-36",100,10573,"BROWN, George Edward, Jr.",-0.506,-0.028,-0.409,0.157,61.1111111111111,0.868361620840927
"19",101,"CA",10,"CA-10",100,10583,"EDWARDS, William Donlon (Don)",-0.599,-0.419,-0.605,-0.248,83.3333333333333,11.2916610715001
"20",101,"CA",29,"CA-29",100,10595,"HAWKINS, Augustus Freeman (Gus)",-0.517,-0.369,-0.455,-0.885,66.6666666666667,36.4040999641339
"21",101,"CA",25,"CA-25",100,10621,"ROYBAL, Edward R.",-0.61,-0.141,-0.643,-0.035,72.2222222222222,51.9856689906332
"22",101,"CA",32,"CA-32",100,12001,"ANDERSON, Glenn Malcolm",-0.269,-0.052,-0.35,0.114,50,55.3641496483045
"23",101,"CA",8,"CA-08",100,13011,"DELLUMS, Ronald V.",-0.644,-0.646,-0.666,-0.561,88.8888888888889,13.0476388219079
"24",101,"CA",22,"CA-22",200,14040,"MOORHEAD, Carlos John",0.465,-0.119,0.49,-0.09,16.6666666666667,468.796392557638
"25",101,"CA",9,"CA-09",100,14053,"STARK, Fortney Hillman (Pete), Jr.",-0.631,-0.605,-0.584,-0.583,88.8888888888889,46.9585143419893
"26",101,"CA",19,"CA-19",200,14071,"LAGOMARSINO, Robert John",0.378,-0.267,0.369,-0.416,44.4444444444444,1097.88823014621
"27",101,"CA",7,"CA-07",100,14256,"MILLER, George",-0.552,-0.398,-0.53,-0.608,88.8888888888889,51.2514239293733
"28",101,"CA",13,"CA-13",100,14257,"MINETA, Norman Y.",-0.479,-0.01,-0.488,-0.062,77.7777777777778,2.54434983726711
"29",101,"CA",24,"CA-24",100,14280,"WAXMAN, Henry Arnold",-0.473,-0.343,-0.455,-0.409,88.8888888888889,45.1408024817641
"30",101,"CA",23,"CA-23",100,14405,"BEILENSON, Anthony Charles",-0.44,-0.605,-0.376,-0.564,94.4444444444444,145.343037208508
"31",101,"CA",38,"CA-38",200,14414,"DORNAN, Robert Kenneth",0.49,-0.111,0.548,-0.051,5.55555555555556,54.778762590796
"32",101,"CA",16,"CA-16",100,14444,"PANETTA, Leon Edward",-0.258,-0.186,-0.343,-0.28,83.3333333333333,42.2790636411345
"33",101,"CA",39,"CA-39",200,14616,"DANNEMEYER, William Edwin",0.691,-0.24,0.748,-0.161,16.6666666666667,139.288046445372
"34",101,"CA",28,"CA-28",100,14620,"DIXON, Julian Carey",-0.458,-0.076,-0.422,-0.044,77.7777777777778,38.7709119896357
"35",101,"CA",4,"CA-04",100,14624,"FAZIO, Victor Herbert, Jr.",-0.455,0.36,-0.455,0.331,72.2222222222222,184.791860897531
"36",101,"CA",35,"CA-35",200,14644,"LEWIS, Charles Jeremy (Jerry)",0.348,-0.101,0.359,-0.357,22.2222222222222,424.206859307537
"37",101,"CA",3,"CA-03",100,14649,"MATSUI, Robert T.",-0.404,-0.03,-0.413,-0.049,77.7777777777778,23.2085213419741
"38",101,"CA",17,"CA-17",200,14652,"PASHAYAN, Charles, Jr.",0.282,-0.232,0.245,-0.407,0,907.860528824044
"39",101,"CA",14,"CA-14",200,14660,"SHUMWAY, Norman David",0.556,0.39,0.609,0.65,5.55555555555556,116.117273812927
"40",101,"CA",20,"CA-20",200,14669,"THOMAS, William Marshall",0.371,-0.277,0.378,-0.399,22.2222222222222,5922.55651845213
"41",101,"CA",33,"CA-33",200,14813,"DREIER, David Timothy",0.478,-0.084,0.448,-0.143,50,717.829589428617
"42",101,"CA",31,"CA-31",100,14816,"DYMALLY, Mervyn Malcolm",-0.685,-0.039,-0.708,-0.007,72.2222222222222,61.3213337666603
"43",101,"CA",45,"CA-45",200,14835,"HUNTER, Duncan Lee",0.47,0.02,0.516,-0.225,5.55555555555556,53.097582068318
"44",101,"CA",11,"CA-11",100,14837,"LANTOS, Thomas Peter",-0.376,-0.033,-0.299,-0.044,77.7777777777778,20.253499089658
"45",101,"CA",41,"CA-41",200,14839,"LOWERY, William David",0.33,-0.254,0.308,-0.316,33.3333333333333,3.61409769613312
"46",101,"CA",44,"CA-44",100,15004,"BATES, Jim",-0.279,-0.682,-0.323,-0.848,100,1.23112038963495
"47",101,"CA",26,"CA-26",100,15005,"BERMAN, Howard Lawrence",-0.404,-0.286,-0.462,-0.378,77.7777777777778,81.5136582968142
"48",101,"CA",1,"CA-01",100,15009,"BOSCO, Douglas Harry",-0.271,-0.024,-0.266,0.042,66.6666666666667,286.338791641898
"49",101,"CA",6,"CA-06",100,15011,"BOXER, Barbara",-0.45,-0.423,-0.488,-0.379,88.8888888888889,114.382168700371
"50",101,"CA",18,"CA-18",100,15032,"LEHMAN, Richard Henry",-0.27,-0.036,-0.377,0.068,72.2222222222222,82.3812309380064
"51",101,"CA",27,"CA-27",100,15034,"LEVINE, Meldon Edises",-0.436,-0.24,-0.421,-0.326,77.7777777777778,59.8289523118695
"52",101,"CA",37,"CA-37",200,15040,"McCANDLESS, Alfred A.",0.474,-0.225,0.494,-0.236,11.1111111111111,29.2214591693263
"53",101,"CA",43,"CA-43",200,15051,"PACKARD, Ronald C.",0.419,0.152,0.454,0.326,5.55555555555556,167.900466426588
"54",101,"CA",34,"CA-34",100,15070,"TORRES, Esteban Edward",-0.487,0.012,-0.469,0.068,88.8888888888889,78.0358500829995
"55",101,"CA",21,"CA-21",200,15413,"GALLEGLY, Elton W.",0.402,-0.1,0.425,-0.355,33.3333333333333,863.586429044117
"56",101,"CA",2,"CA-02",200,15420,"HERGER, Walter William (Wally)",0.551,0.117,0.568,-0.056,5.55555555555556,170.355694511959
"57",101,"CA",5,"CA-05",100,15448,"PELOSI, Nancy",-0.49,-0.185,-0.532,-0.386,88.8888888888889,304.12962934489
"58",101,"CA",12,"CA-12",200,15600,"CAMPBELL, Thomas J.",0.256,-0.907,0.167,-0.735,100,71.1040574117162
"59",101,"CA",40,"CA-40",200,15601,"COX, Charles Christopher",0.54,-0.236,0.494,-0.201,61.1111111111111,205.183799853647
"60",101,"CA",42,"CA-42",200,15621,"ROHRABACHER, Dana",0.626,-0.417,0.503,-0.119,27.7777777777778,92.664948143764
"61",101,"CA",15,"CA-15",100,15635,"CONDIT, Gary Adrian",-0.103,0.3,-0.12,-0.038,66.6666666666667,324.354054554117
"62",101,"CO",1,"CO-01",100,14051,"SCHROEDER, Patricia Scott",-0.225,-0.974,-0.187,-0.982,88.8888888888889,1828.3378572485
"63",101,"CO",4,"CO-04",200,14803,"BROWN, George Hanks (Hank)",0.511,-0.762,0.427,-0.587,61.1111111111111,2472.80180142209
"64",101,"CO",6,"CO-06",200,15058,"SCHAEFER, Daniel",0.479,-0.123,0.438,-0.25,22.2222222222222,286.575215854372
"65",101,"CO",3,"CO-03",100,15407,"CAMPBELL, Ben Nighthorse",-0.141,0.07,-0.1,0.126,27.7777777777778,3267.78848554779
"66",101,"CO",5,"CO-05",200,15419,"HEFLEY, Joel M.",0.591,0.13,0.489,-0.347,33.3333333333333,372.595628715032
"67",101,"CO",2,"CO-02",100,15443,"SKAGGS, David Evans",-0.355,-0.187,-0.3,-0.245,88.8888888888889,133.015793215015
"68",101,"CT",2,"CT-02",100,14825,"GEJDENSON, Samuel",-0.416,-0.486,-0.394,-0.304,94.4444444444444,10.0312706463644
"69",101,"CT",1,"CT-01",100,14877,"KENNELLY, Barbara Bailey",-0.346,-0.13,-0.335,-0.188,83.3333333333333,27.1981201334034
"70",101,"CT",6,"CT-06",200,15028,"JOHNSON, Nancy Lee",0.122,-0.513,0.114,-0.385,66.6666666666667,39.7355391435432
"71",101,"CT",3,"CT-03",100,15045,"MORRISON, Bruce Andrew",-0.396,-0.59,-0.322,-0.606,77.7777777777778,7.61422811386297
"72",101,"CT",5,"CT-05",200,15123,"ROWLAND, John",0.169,-0.399,0.097,-0.248,72.2222222222222,48.6912516174558
"73",101,"CT",4,"CT-04",200,15449,"SHAYS, Christopher H.",0.129,-0.992,0.11,-0.994,100,28.8310199472836
"74",101,"DE",1,"DE-AL",100,15015,"CARPER, Thomas Richard",-0.179,-0.223,-0.196,-0.207,61.1111111111111,19.0054313537047
"75",101,"FL",3,"FL-03",100,633,"BENNETT, Charles Edward",-0.088,0.421,-0.06,-0.115,83.3333333333333,13.5780309567197
"76",101,"FL",19,"FL-19",100,3078,"FASCELL, Dante Bruno",-0.4,0.229,-0.35,0.111,83.3333333333333,9.99608165257232
"77",101,"FL",7,"FL-07",100,10588,"GIBBONS, Sam Melville",-0.233,0.17,-0.237,0.054,88.8888888888889,126.058542165524
"78",101,"FL",8,"FL-08",200,13047,"YOUNG, Charles William (Bill)",0.325,-0.112,0.334,-0.291,38.8888888888889,72.1255467591703
"79",101,"FL",17,"FL-17",100,14029,"LEHMAN, William",-0.483,-0.001,-0.571,-0.042,77.7777777777778,0.00541992458636369
"80",101,"FL",10,"FL-10",200,14428,"IRELAND, Andrew Poysell (Andy)",0.42,-0.312,0.411,-0.318,44.4444444444444,30.9907079659447
"81",101,"FL",1,"FL-01",100,14636,"HUTTO, Earl Dewitt",-0.007,0.732,0.047,0.731,33.3333333333333,216.370366980389
"82",101,"FL",11,"FL-11",100,14651,"NELSON, Clarence William (Bill)",-0.193,0.337,-0.161,0.098,44.4444444444444,43.1191296605776
"83",101,"FL",5,"FL-05",200,14842,"McCOLLUM, Ira William, Jr. (Bill)",0.377,-0.101,0.371,-0.083,38.8888888888889,78.8413902370941
"84",101,"FL",15,"FL-15",200,14860,"SHAW, Eugene Clay, Jr.",0.3,-0.142,0.279,0.072,44.4444444444444,10.2916182056569
"85",101,"FL",9,"FL-09",200,15006,"BILIRAKIS, Michael",0.382,-0.219,0.348,-0.443,61.1111111111111,144.653198728975
"86",101,"FL",12,"FL-12",200,15035,"LEWIS, Thomas F.",0.387,-0.324,0.435,-0.277,22.2222222222222,154.004616063067
"87",101,"FL",16,"FL-16",100,15062,"SMITH, Lawrence Jack",-0.355,0.075,-0.375,0.017,83.3333333333333,82.2697015593989
"88",101,"FL",2,"FL-02",200,15415,"GRANT, James William",0.219,0.138,0.22,0.149,44.4444444444444,24.5377090887744
"89",101,"FL",13,"FL-13",200,15605,"GOSS, Porter J.",0.421,-0.394,0.388,-0.474,61.1111111111111,27.6542252007351
"90",101,"FL",4,"FL-04",200,15608,"JAMES, Craig T.",0.343,-0.489,0.326,-0.463,77.7777777777778,83.403912406982
"91",101,"FL",14,"FL-14",100,15609,"JOHNSTON, Harry A., II",-0.372,-0.376,-0.229,-0.304,83.3333333333333,9.72850087732446
"92",101,"FL",6,"FL-06",200,15627,"STEARNS, Clifford Bundy",0.554,-0.075,0.398,-0.237,50,77.093853272114
"93",101,"FL",18,"FL-18",200,15634,"ROS-LEHTINEN, Ileana",0.244,-0.225,0.242,-0.618,88.8888888888889,0
"94",101,"GA",10,"GA-10",100,14404,"BARNARD, Druie Douglas, Jr.",-0.028,0.639,-0.019,0.761,38.8888888888889,10.0130506678192
"95",101,"GA",9,"GA-09",100,14429,"JENKINS, Edgar Lanier (Ed)",-0.116,0.678,-0.091,0.583,44.4444444444444,49.9836043866998
"96",101,"GA",6,"GA-06",200,14627,"GINGRICH, Newton Leroy",0.377,-0.257,0.371,-0.072,11.1111111111111,21.0962894489485
"97",101,"GA",2,"GA-02",100,14831,"HATCHER, Charles Floyd",-0.202,0.722,-0.201,0.669,38.8888888888889,19.9939929149714
"98",101,"GA",3,"GA-03",100,15053,"RAY, Richard Belmont",0.035,0.56,0.022,0.62,44.4444444444444,39.9889040013479
"99",101,"GA",8,"GA-08",100,15057,"ROWLAND, James Roy, Jr.",-0.127,0.616,-0.141,0.605,61.1111111111111,40.0575330480068
"100",101,"GA",1,"GA-01",100,15069,"THOMAS, Robert Lindsay",-0.14,0.673,-0.112,0.651,50,29.9562872709219
"101",101,"GA",7,"GA-07",100,15081,"DARDEN, George (Buddy)",-0.161,0.691,-0.126,0.549,55.5555555555556,39.9932625145046
"102",101,"GA",5,"GA-05",100,15431,"LEWIS, John R.",-0.589,-0.221,-0.575,-0.444,88.8888888888889,7.02857647523343
"103",101,"GA",4,"GA-04",100,95120,"JONES, Ben",-0.213,-0.073,-0.191,0.059,72.2222222222222,20.8757117476057
"104",101,"HI",2,"HI-02",100,14400,"AKAKA, Daniel Kahikina",-0.419,0.273,-0.399,0.034,94.4444444444444,17.197875116873
"105",101,"HI",1,"HI-01",200,15441,"SAIKI, Patricia",0.096,-0.371,0.057,-0.329,55.5555555555556,2.80212488312696
"106",101,"ID",1,"ID-01",200,14809,"CRAIG, Larry Edwin",0.494,-0.014,0.506,-0.07,5.55555555555556,138.779462538636
"107",101,"ID",2,"ID-02",100,15117,"STALLINGS, Richard Howard",-0.084,0.224,-0.093,0.405,50,41.5892274358452
"108",101,"IL",18,"IL-18",200,6455,"MICHEL, Robert Henry",0.372,-0.157,0.355,-0.198,16.6666666666667,1060.27277404886
"109",101,"IL",8,"IL-08",100,8080,"ROSTENKOWSKI, Daniel David",-0.39,0.246,-0.284,0.086,72.2222222222222,9.35874182085367
"110",101,"IL",9,"IL-09",100,10421,"YATES, Sidney Richard",-0.494,-0.494,-0.508,-0.429,88.8888888888889,12.5922250877392
"111",101,"IL",11,"IL-11",100,10703,"ANNUNZIO, Frank",-0.398,0.351,-0.243,0.167,66.6666666666667,20.8371400856666
"112",101,"IL",12,"IL-12",200,12041,"CRANE, Philip Miller",0.739,0.023,0.844,-0.207,38.8888888888889,93.1247163954561
"113",101,"IL",15,"IL-15",200,14033,"MADIGAN, Edward Rell",0.247,-0.396,0.33,-0.332,22.2222222222222,203.67148764017
"114",101,"IL",7,"IL-07",100,14068,"COLLINS, Cardiss",-0.552,-0.218,-0.543,-0.291,77.7777777777778,11.1404560020575
"115",101,"IL",6,"IL-06",200,14239,"HYDE, Henry John",0.312,-0.18,0.33,-0.304,16.6666666666667,23.1843179943519
"116",101,"IL",3,"IL-03",100,14271,"RUSSO, Martin Anthony",-0.192,-0.209,-0.179,-0.285,83.3333333333333,30.2381379383763
"117",101,"IL",10,"IL-10",200,14677,"PORTER, John Edward",0.217,-0.604,0.217,-0.458,61.1111111111111,44.0995585451811
"118",101,"IL",16,"IL-16",200,14841,"MARTIN, Lynn Morley",0.345,-0.67,0.315,-0.821,66.6666666666667,10.0025040722804
"119",101,"IL",2,"IL-02",100,14856,"SAVAGE, Gus",-0.671,-0.39,-0.731,-0.402,83.3333333333333,19.1430822362624
"120",101,"IL",20,"IL-20",100,15021,"DURBIN, Richard Joseph",-0.348,-0.305,-0.407,-0.083,77.7777777777778,1089.85277515638
"121",101,"IL",17,"IL-17",100,15023,"EVANS, Lane Allen",-0.454,-0.181,-0.474,-0.298,94.4444444444444,148.393626589961
"122",101,"IL",5,"IL-05",100,15036,"LIPINSKI, William Oliver",-0.176,0.3,-0.202,0.42,66.6666666666667,20.3193526522049
"123",101,"IL",1,"IL-01",100,15079,"HAYES, Charles Arthur",-0.656,-0.395,-0.705,-0.176,88.8888888888889,9.45631236600639
"124",101,"IL",19,"IL-19",100,15088,"BRUCE, Terry Lee",-0.268,-0.032,-0.327,0.236,83.3333333333333,2721.78299904486
"125",101,"IL",13,"IL-13",200,15098,"FAWELL, Harris W.",0.332,-0.616,0.35,-0.442,77.7777777777778,48.5246986718238
"126",101,"IL",14,"IL-14",200,15417,"HASTERT, John Dennis",0.443,-0.122,0.424,-0.307,22.2222222222222,34.0632323026261
"127",101,"IL",21,"IL-21",100,15453,"COSTELLO, Jerry Francis",-0.317,0.657,-0.259,0.346,77.7777777777778,2087.29646036519
"128",101,"IL",22,"IL-22",100,15620,"POSHARD, Glenn",-0.211,0.392,-0.233,0.184,77.7777777777778,7534.03377993996
"129",101,"IL",4,"IL-04",100,15622,"SANGMEISTER, George Edward",-0.226,0.075,-0.18,-0.09,77.7777777777778,53.5736303087313
"130",101,"IN",9,"IN-09",100,10732,"HAMILTON, Lee Herbert",-0.171,-0.053,-0.135,-0.267,94.4444444444444,219.460814035713
"131",101,"IN",10,"IN-10",100,10742,"JACOBS, Andrew, Jr.",-0.07,-0.846,-0.023,-1,88.8888888888889,35.5700999057216
"132",101,"IN",7,"IN-07",200,11036,"MYERS, John Thomas",0.236,0.254,0.233,0.326,16.6666666666667,1273.8680190359
"133",101,"IN",2,"IN-02",100,14274,"SHARP, Philip Riley",-0.166,-0.283,-0.152,-0.355,88.8888888888889,19.615275719643
"134",101,"IN",3,"IN-03",200,14834,"HILER, John Patrick",0.413,-0.35,0.388,-0.276,38.8888888888889,19.9959519402734
"135",101,"IN",6,"IN-06",200,15014,"BURTON, Danny Lee",0.585,-0.026,0.648,-0.102,22.2222222222222,21.117433185343
"136",101,"IN",8,"IN-08",100,15041,"McCLOSKEY, Francis Xavier",-0.336,0.094,-0.359,0.03,88.8888888888889,3087.62742177647
"137",101,"IN",1,"IN-01",100,15124,"VISCLOSKY, Peter",-0.402,0.244,-0.324,-0.007,72.2222222222222,6.17917095745144
"138",101,"IN",5,"IN-05",100,15426,"JONTZ, James Prather",-0.357,-0.286,-0.392,-0.202,94.4444444444444,23.8226193304523
"139",101,"IA",4,"IA-04",100,8672,"SMITH, Neal Edward",-0.313,0.174,-0.43,0.528,33.3333333333333,79.8768865451389
"140",101,"IA",1,"IA-01",200,14432,"LEACH, James Albert Smith",0.141,-0.79,0.16,-0.987,100,20.010753907485
"141",101,"IA",2,"IA-02",200,14668,"TAUKE, Thomas Joseph",0.27,-0.775,0.305,-0.744,61.1111111111111,19.9939778970771
"142",101,"IA",5,"IA-05",200,15106,"LIGHTFOOT, James Ross",0.391,-0.211,0.485,-0.213,11.1111111111111,80.1237151999079
"143",101,"IA",6,"IA-06",200,15414,"GRANDY, Frederick Lawrence",0.283,-0.465,0.333,-0.496,22.2222222222222,19.964249206958
"144",101,"IA",3,"IA-03",100,15435,"NAGLE, David Ray",-0.349,-0.052,-0.334,-0.037,77.7777777777778,9.99794644497171
"145",101,"KS",4,"KS-04",100,14422,"GLICKMAN, Daniel Robert",-0.133,-0.149,-0.169,-0.084,94.4444444444444,2306.94426656962
"146",101,"KS",5,"KS-05",200,14670,"WHITTAKER, Robert Russell",0.346,-0.318,0.35,-0.37,16.6666666666667,1636.1278530161
"147",101,"KS",1,"KS-01",200,14852,"ROBERTS, Charles Patrick (Pat)",0.413,-0.09,0.408,-0.302,22.2222222222222,3248.12608823306
"148",101,"KS",2,"KS-02",100,15061,"SLATTERY, James Charles",-0.099,-0.04,-0.111,-0.052,88.8888888888889,78.0584422630999
"149",101,"KS",3,"KS-03",200,15109,"MEYERS, Jan",0.208,-0.541,0.185,-0.311,77.7777777777778,129.934135312373
"150",101,"KY",2,"KY-02",100,6845,"NATCHER, William Huston",-0.288,0.575,-0.301,0.637,61.1111111111111,867.145338050824
"151",101,"KY",3,"KY-03",100,13024,"MAZZOLI, Romano Louis",-0.186,-0.016,-0.26,0.246,77.7777777777778,82.5775797533225
"152",101,"KY",1,"KY-01",100,14237,"HUBBARD, Carroll, Jr.",-0.038,0.476,-0.005,0.452,38.8888888888889,5287.44313056852
"153",101,"KY",6,"KY-06",200,14635,"HOPKINS, Larry Jones",0.347,-0.242,0.43,-0.273,16.6666666666667,3080.14619565477
"154",101,"KY",5,"KY-05",200,14854,"ROGERS, Harold Dallas (Hal)",0.333,0.152,0.365,-0.226,11.1111111111111,8345.89497533912
"155",101,"KY",7,"KY-07",100,15228,"PERKINS, Carl Christopher",-0.56,0.793,-0.52,0.854,61.1111111111111,14888.5856783223
"156",101,"KY",4,"KY-04",200,15406,"BUNNING, James Paul David",0.521,-0.049,0.535,-0.196,16.6666666666667,130.367711743283
"157",101,"LA",2,"LA-02",100,14067,"BOGGS, Corinne Claiborne (Lindy)",-0.359,0.501,-0.375,0.739,50,913.02105633253
"158",101,"LA",5,"LA-05",100,14427,"HUCKABY, Thomas Jerald",-0.009,0.507,0.021,0.634,38.8888888888889,1559.63210992947
"159",101,"LA",1,"LA-01",200,14469,"LIVINGSTON, Robert Linlithgow, Jr.",0.326,0.109,0.375,0.38,11.1111111111111,565.882977335945
"160",101,"LA",3,"LA-03",100,14679,"TAUZIN, Wilbert Joseph (Billy)",0.03,0.568,0.04,0.767,38.8888888888889,8973.1713967902
"161",101,"LA",6,"LA-06",200,15401,"BAKER, Richard Hugh",0.423,0.022,0.438,-0.222,5.55555555555556,182.050194688726
"162",101,"LA",7,"LA-07",100,15418,"HAYES, James Allison",-0.057,0.755,-0.115,0.84,33.3333333333333,7365.89124282064
"163",101,"LA",8,"LA-08",200,15422,"HOLLOWAY, Clyde Cecil",0.475,0.004,0.513,-0.019,5.55555555555556,1451.23780121933
"164",101,"LA",4,"LA-04",200,15451,"McCRERY, James O., III",0.362,0.08,0.29,0,11.1111111111111,2931.71273205821
"165",101,"ME",2,"ME-02",200,14661,"SNOWE, Olympia Jean",0.091,-0.548,0.104,-0.505,88.8888888888889,24.7599281182772
"166",101,"ME",1,"ME-01",100,15404,"BRENNAN, Joseph Edward",-0.308,-0.245,-0.323,-0.188,88.8888888888889,75.2493268191717
"167",101,"MD",6,"MD-06",100,14608,"BYRON, Beverly Barton Butcher",-0.024,0.516,-0.012,0.625,50,548.403878405218
"168",101,"MD",1,"MD-01",100,14817,"DYSON, Royden Patrick",-0.104,0.471,-0.151,0.496,61.1111111111111,15.4560360145311
"169",101,"MD",5,"MD-05",100,14873,"HOYER, Steny Hamilton",-0.381,0.12,-0.454,0.21,83.3333333333333,0.0350163377767514
"170",101,"MD",2,"MD-02",200,15086,"BENTLEY, Helen Delich",0.276,-0.362,0.333,-0.352,27.7777777777778,21.9884905252708
"171",101,"MD",3,"MD-03",100,15408,"CARDIN, Benjamin Louis",-0.32,-0.224,-0.372,-0.254,77.7777777777778,55.1416571784366
"172",101,"MD",4,"MD-04",100,15432,"McMILLEN, Charles Thomas",-0.214,0.082,-0.235,0.08,66.6666666666667,17.5202858592118
"173",101,"MD",7,"MD-07",100,15433,"MFUME, Kweisi",-0.444,-0.337,-0.417,-0.531,83.3333333333333,28.0445104504616
"174",101,"MD",8,"MD-08",200,15434,"MORELLA, Constance A.",-0.018,-0.893,-0.07,-0.756,94.4444444444444,4.61594209070162
"175",101,"MA",1,"MA-01",200,2009,"CONTE, Silvio Ottavio",-0.023,-0.683,-0.055,-0.593,88.8888888888889,25.4331319549321
"176",101,"MA",9,"MA-09",100,14039,"MOAKLEY, John Joseph",-0.418,-0.054,-0.407,0.132,77.7777777777778,14.1113510956361
"177",101,"MA",10,"MA-10",100,14055,"STUDDS, Gerry Eastman",-0.444,-0.593,-0.471,-0.473,94.4444444444444,15.2380415266669
"178",101,"MA",3,"MA-03",100,14216,"EARLY, Joseph Daniel",-0.254,-0.409,-0.236,-0.284,83.3333333333333,6.04033461640157
"179",101,"MA",7,"MA-07",100,14435,"MARKEY, Edward John",-0.515,-0.467,-0.483,-0.26,88.8888888888889,3.3756390238644
"180",101,"MA",11,"MA-11",100,14621,"DONNELLY, Brian Joseph",-0.291,-0.046,-0.261,0.017,88.8888888888889,8.46876342894075
"181",101,"MA",6,"MA-06",100,14650,"MAVROULES, Nicholas James",-0.342,-0.023,-0.34,0.118,77.7777777777778,152.932345262434
"182",101,"MA",4,"MA-04",100,14824,"FRANK, Barney",-0.499,-0.534,-0.401,-0.477,83.3333333333333,14.55399537113
"183",101,"MA",5,"MA-05",100,15084,"ATKINS, Chester Greenough",-0.407,-0.388,-0.402,-0.194,88.8888888888889,27.5315288137999
"184",101,"MA",8,"MA-08",100,15427,"KENNEDY, Joseph Patrick, II",-0.413,-0.453,-0.442,-0.376,94.4444444444444,2.64586860410296
"185",101,"MA",2,"MA-02",100,15616,"NEAL, Richard Edmund",-0.417,-0.105,-0.328,-0.235,94.4444444444444,4.59213397488495
"186",101,"MI",18,"MI-18",200,1087,"BROOMFIELD, William S.",0.227,-0.309,0.261,-0.083,33.3333333333333,72.8415481371663
"187",101,"MI",16,"MI-16",100,2605,"DINGELL, John David, Jr.",-0.448,0.313,-0.477,0.566,55.5555555555556,20.9644403970872
"188",101,"MI",1,"MI-01",100,10713,"CONYERS, John, Jr.",-0.658,-0.512,-0.636,-0.294,72.2222222222222,5.36978966561237
"189",101,"MI",15,"MI-15",100,10727,"FORD, William David",-0.516,0.098,-0.534,0.067,72.2222222222222,37.9962219723346
"190",101,"MI",9,"MI-09",200,10794,"VANDER JAGT, Guy Adrian",0.247,-0.226,0.272,0.1,22.2222222222222,274.465625656828
"191",101,"MI",8,"MI-08",100,14075,"TRAXLER, Jerome Bob",-0.33,0.126,-0.362,0.344,50,109.613743621708
"192",101,"MI",6,"MI-06",100,14210,"CARR, Milton Robert (Bob)",-0.254,-0.342,-0.191,-0.16,61.1111111111111,272.163129494226
"193",101,"MI",12,"MI-12",100,14407,"BONIOR, David Edward",-0.547,-0.006,-0.478,0.049,83.3333333333333,81.5888864492813
"194",101,"MI",7,"MI-07",100,14430,"KILDEE, Dale Edward",-0.385,0.011,-0.479,0.037,88.8888888888889,35.5274939703836
"195",101,"MI",2,"MI-02",200,14446,"PURSELL, Carl Duane",0.12,-0.557,0.176,-0.371,61.1111111111111,254.661465089931
